Greedy Algorithm 
Start ---> Finish

2948 -----> 4660
4660 -----> 1139
1139 -----> 1035
1035 -----> 2306
2306 -----> 4240
4240 -----> 518
518 -----> 3607
3607 -----> 333
333 -----> 3357
3357 -----> 2404
2404 -----> 1329
1329 -----> 2216
2216 -----> 3727
3727 -----> 36
36 -----> 3898
3898 -----> 3414
3414 -----> 4456
4456 -----> 1787
1787 -----> 2430
2430 -----> 4523
4523 -----> 1386
1386 -----> 384
384 -----> 1053
1053 -----> 547
547 -----> 4162
4162 -----> 3547
3547 -----> 3156
3156 -----> 3000
3000 -----> 1227
1227 -----> 3778
3778 -----> 3340
3340 -----> 4222
4222 -----> 1330
1330 -----> 1320
1320 -----> 997
997 -----> 3578
3578 -----> 1631
1631 -----> 1335
1335 -----> 1981
1981 -----> 1371
1371 -----> 720
720 -----> 191
191 -----> 1425
1425 -----> 1967
1967 -----> 4048
4048 -----> 261
261 -----> 2783
2783 -----> 3971
3971 -----> 4501
4501 -----> 2753
2753 -----> 2230
2230 -----> 1746
1746 -----> 2647
2647 -----> 3083
3083 -----> 969
969 -----> 181
181 -----> 3140
3140 -----> 214
214 -----> 2868
2868 -----> 4290
4290 -----> 1008
1008 -----> 3333
3333 -----> 2749
2749 -----> 13
13 -----> 3467
3467 -----> 3843
3843 -----> 2725
2725 -----> 1538
1538 -----> 1796
1796 -----> 2678
2678 -----> 2574
2574 -----> 3725
3725 -----> 3303
3303 -----> 2248
2248 -----> 1324
1324 -----> 3893
3893 -----> 1654
1654 -----> 3102
3102 -----> 1905
1905 -----> 616
616 -----> 2409
2409 -----> 1879
1879 -----> 4149
4149 -----> 1395
1395 -----> 291
291 -----> 1390
1390 -----> 61
61 -----> 337
337 -----> 326
326 -----> 359
359 -----> 3758
3758 -----> 2009
2009 -----> 1649
1649 -----> 2644
2644 -----> 1010
1010 -----> 4019
4019 -----> 1158
1158 -----> 4398
4398 -----> 1396
1396 -----> 80
80 -----> 377
377 -----> 321
321 -----> 1641
1641 -----> 3588
3588 -----> 101
101 -----> 4270
4270 -----> 201
201 -----> 4343
4343 -----> 4220
4220 -----> 383
383 -----> 2000
2000 -----> 1846
1846 -----> 1680
1680 -----> 1528
1528 -----> 630
630 -----> 3020
3020 -----> 469
469 -----> 4534
4534 -----> 1086
1086 -----> 3955
3955 -----> 2875
2875 -----> 711
711 -----> 3663
3663 -----> 933
933 -----> 413
413 -----> 169
169 -----> 3846
3846 -----> 673
673 -----> 3421
3421 -----> 4160
4160 -----> 749
749 -----> 4367
4367 -----> 1354
1354 -----> 2178
2178 -----> 3234
3234 -----> 1270
1270 -----> 801
801 -----> 3837
3837 -----> 2781
2781 -----> 1217
1217 -----> 4175
4175 -----> 2539
2539 -----> 3802
3802 -----> 1206
1206 -----> 3577
3577 -----> 917
917 -----> 305
305 -----> 4224
4224 -----> 395
395 -----> 1557
1557 -----> 1279
1279 -----> 444
444 -----> 2227
2227 -----> 3885
3885 -----> 1088
1088 -----> 1486
1486 -----> 4484
4484 -----> 2980
2980 -----> 2542
2542 -----> 2199
2199 -----> 2908
2908 -----> 4608
4608 -----> 2525
2525 -----> 2109
2109 -----> 3863
3863 -----> 1266
1266 -----> 4380
4380 -----> 1252
1252 -----> 660
660 -----> 2021
2021 -----> 3822
3822 -----> 3530
3530 -----> 2673
2673 -----> 1234
1234 -----> 3239
3239 -----> 2605
2605 -----> 1064
1064 -----> 91
91 -----> 3158
3158 -----> 2679
2679 -----> 4496
4496 -----> 464
464 -----> 358
358 -----> 287
287 -----> 375
375 -----> 2483
2483 -----> 521
521 -----> 2938
2938 -----> 3092
3092 -----> 1085
1085 -----> 1748
1748 -----> 2530
2530 -----> 873
873 -----> 3574
3574 -----> 152
152 -----> 60
60 -----> 3283
3283 -----> 2209
2209 -----> 3385
3385 -----> 3803
3803 -----> 4023
4023 -----> 3172
3172 -----> 3536
3536 -----> 972
972 -----> 3995
3995 -----> 1571
1571 -----> 3527
3527 -----> 2469
2469 -----> 129
129 -----> 2949
2949 -----> 1273
1273 -----> 1040
1040 -----> 1684
1684 -----> 3906
3906 -----> 3918
3918 -----> 733
733 -----> 855
855 -----> 3735
3735 -----> 1007
1007 -----> 1828
1828 -----> 1953
1953 -----> 1304
1304 -----> 1805
1805 -----> 2655
2655 -----> 3930
3930 -----> 2026
2026 -----> 2861
2861 -----> 474
474 -----> 918
918 -----> 3193
3193 -----> 301
301 -----> 2224
2224 -----> 3552
3552 -----> 951
951 -----> 3060
3060 -----> 4112
4112 -----> 3037
3037 -----> 4228
4228 -----> 3549
3549 -----> 3271
3271 -----> 3618
3618 -----> 2415
2415 -----> 3788
3788 -----> 77
77 -----> 984
984 -----> 4303
4303 -----> 2550
2550 -----> 2885
2885 -----> 2975
2975 -----> 1258
1258 -----> 98
98 -----> 4323
4323 -----> 2596
2596 -----> 4518
4518 -----> 3916
3916 -----> 1049
1049 -----> 1784
1784 -----> 2385
2385 -----> 3203
3203 -----> 1226
1226 -----> 1897
1897 -----> 1598
1598 -----> 1069
1069 -----> 1439
1439 -----> 679
679 -----> 136
136 -----> 3809
3809 -----> 2894
2894 -----> 2117
2117 -----> 1398
1398 -----> 4010
4010 -----> 2233
2233 -----> 3797
3797 -----> 245
245 -----> 1544
1544 -----> 3638
3638 -----> 1076
1076 -----> 3424
3424 -----> 1432
1432 -----> 1974
1974 -----> 4008
4008 -----> 4346
4346 -----> 3443
3443 -----> 4025
4025 -----> 3514
3514 -----> 723
723 -----> 1419
1419 -----> 2656
2656 -----> 228
228 -----> 2135
2135 -----> 3544
3544 -----> 2502
2502 -----> 3094
3094 -----> 1287
1287 -----> 1360
1360 -----> 3512
3512 -----> 4113
4113 -----> 1915
1915 -----> 2366
2366 -----> 1644
1644 -----> 995
995 -----> 1962
1962 -----> 1899
1899 -----> 4640
4640 -----> 591
591 -----> 68
68 -----> 2295
2295 -----> 1857
1857 -----> 3449
3449 -----> 3085
3085 -----> 3318
3318 -----> 2077
2077 -----> 4460
4460 -----> 3572
3572 -----> 1499
1499 -----> 2408
2408 -----> 1755
1755 -----> 3425
3425 -----> 975
975 -----> 2465
2465 -----> 273
273 -----> 3627
3627 -----> 3042
3042 -----> 1349
1349 -----> 4318
4318 -----> 3900
3900 -----> 3460
3460 -----> 2156
2156 -----> 1130
1130 -----> 3087
3087 -----> 3429
3429 -----> 1077
1077 -----> 2520
2520 -----> 2674
2674 -----> 1505
1505 -----> 3
3 -----> 1435
1435 -----> 3541
3541 -----> 3401
3401 -----> 893
893 -----> 1163
1163 -----> 2702
2702 -----> 1367
1367 -----> 1907
1907 -----> 3098
3098 -----> 3924
3924 -----> 692
692 -----> 86
86 -----> 1117
1117 -----> 4187
4187 -----> 1738
1738 -----> 3394
3394 -----> 3047
3047 -----> 2423
2423 -----> 2993
2993 -----> 340
340 -----> 2004
2004 -----> 1677
1677 -----> 2084
2084 -----> 3548
3548 -----> 993
993 -----> 1095
1095 -----> 345
345 -----> 1491
1491 -----> 4374
4374 -----> 2796
2796 -----> 3035
3035 -----> 1409
1409 -----> 4004
4004 -----> 2277
2277 -----> 2581
2581 -----> 2640
2640 -----> 824
824 -----> 3519
3519 -----> 1028
1028 -----> 1543
1543 -----> 1992
1992 -----> 4630
4630 -----> 3116
3116 -----> 3205
3205 -----> 1998
1998 -----> 3294
3294 -----> 6
6 -----> 401
401 -----> 3326
3326 -----> 3002
3002 -----> 2140
2140 -----> 2420
2420 -----> 1626
1626 -----> 1884
1884 -----> 4081
4081 -----> 2410
2410 -----> 3923
3923 -----> 3361
3361 -----> 3242
3242 -----> 887
887 -----> 4599
4599 -----> 3796
3796 -----> 2129
2129 -----> 3909
3909 -----> 2892
2892 -----> 1705
1705 -----> 784
784 -----> 2811
2811 -----> 3655
3655 -----> 1381
1381 -----> 300
300 -----> 2451
2451 -----> 2629
2629 -----> 1554
1554 -----> 2723
2723 -----> 3839
3839 -----> 4310
4310 -----> 3343
3343 -----> 3128
3128 -----> 3147
3147 -----> 3817
3817 -----> 4400
4400 -----> 4583
4583 -----> 1633
1633 -----> 881
881 -----> 4420
4420 -----> 4354
4354 -----> 4412
4412 -----> 3729
3729 -----> 1516
1516 -----> 2023
2023 -----> 1871
1871 -----> 2632
2632 -----> 368
368 -----> 4513
4513 -----> 3457
3457 -----> 114
114 -----> 3791
3791 -----> 1437
1437 -----> 348
348 -----> 2524
2524 -----> 341
341 -----> 2638
2638 -----> 2983
2983 -----> 3383
3383 -----> 3830
3830 -----> 1187
1187 -----> 53
53 -----> 2339
2339 -----> 2837
2837 -----> 3299
3299 -----> 147
147 -----> 3980
3980 -----> 2765
2765 -----> 1737
1737 -----> 4379
4379 -----> 1059
1059 -----> 27
27 -----> 388
388 -----> 791
791 -----> 2484
2484 -----> 3719
3719 -----> 1333
1333 -----> 274
274 -----> 4529
4529 -----> 577
577 -----> 2217
2217 -----> 4410
4410 -----> 653
653 -----> 2689
2689 -----> 4018
4018 -----> 1174
1174 -----> 1987
1987 -----> 704
704 -----> 465
465 -----> 4479
4479 -----> 2490
2490 -----> 2427
2427 -----> 4656
4656 -----> 45
45 -----> 472
472 -----> 177
177 -----> 914
914 -----> 1340
1340 -----> 4641
4641 -----> 3016
3016 -----> 3408
3408 -----> 1579
1579 -----> 4334
4334 -----> 3710
3710 -----> 3686
3686 -----> 2312
2312 -----> 4351
4351 -----> 2727
2727 -----> 3821
3821 -----> 4084
4084 -----> 3661
3661 -----> 3928
3928 -----> 4073
4073 -----> 4592
4592 -----> 874
